simptom_id,bolest_id,naziv_bolesti,tipicna_starost_dijagnoze,genetska_predispozicija,razina_opasnosti,faktori_rizika,uobicajeni_lijekovi,brzina_progresije_bolesti,dijagnosticki_testovi,tip_tretmana,simptom
1,1,Dijabetes,Srednje odrasle do starije osobe,Umjerena do visoka,Blaga do teška,"Pretilost, Sjedeći način života, Prehrana bogata šećerom","Inzulin, Metformin","Postupna, može se ubrzati ako se ne liječi","Razina šećera u krvi, HbA1c","Lijekovi, promjene u načinu života",Pojačana žeđ
2,1,Dijabetes,Srednje odrasle do starije osobe,Umjerena do visoka,Blaga do teška,"Pretilost, Sjedeći način života, Prehrana bogata šećerom","Inzulin, Metformin","Postupna, može se ubrzati ako se ne liječi","Razina šećera u krvi, HbA1c","Lijekovi, promjene u načinu života",Često mokrenje
3,1,Dijabetes,Srednje odrasle do starije osobe,Umjerena do visoka,Blaga do teška,"Pretilost, Sjedeći način života, Prehrana bogata šećerom","Inzulin, Metformin","Postupna, može se ubrzati ako se ne liječi","Razina šećera u krvi, HbA1c","Lijekovi, promjene u načinu života",Umor
4,2,Hipertenzija,"Odrasli, obično preko 40",Umjerena,Blaga do teška,"Visok unos soli, Pretilost, Stres","ACE inhibitori, Beta-blokatori","Postupna, može postati teška bez upravljanja",Mjerenja krvnog tlaka,"Lijekovi, promjene u načinu života",Često asimptomatski
5,2,Hipertenzija,"Odrasli, obično preko 40",Umjerena,Blaga do teška,"Visok unos soli, Pretilost, Stres","ACE inhibitori, Beta-blokatori","Postupna, može postati teška bez upravljanja",Mjerenja krvnog tlaka,"Lijekovi, promjene u načinu života",Glavobolje
6,2,Hipertenzija,"Odrasli, obično preko 40",Umjerena,Blaga do teška,"Visok unos soli, Pretilost, Stres","ACE inhibitori, Beta-blokatori","Postupna, može postati teška bez upravljanja",Mjerenja krvnog tlaka,"Lijekovi, promjene u načinu života",Kratkoća daha
6,3,Astma,"Djetinjstvo, ali može se javiti u bilo kojoj dobi",Visoka,Blaga do teška,"Alergije, Izloženost pušenju, Zagađenje","Inhalacijski kortikosteroidi, Bronhodilatatori","Varira; stabilno uz dobru kontrolu, epizodni izbijanja","Spirometrija, Mjerenje maksimalnog protoka","Lijekovi, izbjegavanje okidača",Kratkoća daha
7,3,Astma,"Djetinjstvo, ali može se javiti u bilo kojoj dobi",Visoka,Blaga do teška,"Alergije, Izloženost pušenju, Zagađenje","Inhalacijski kortikosteroidi, Bronhodilatatori","Varira; stabilno uz dobru kontrolu, epizodni izbijanja","Spirometrija, Mjerenje maksimalnog protoka","Lijekovi, izbjegavanje okidača",Kronični kašalj
8,3,Astma,"Djetinjstvo, ali može se javiti u bilo kojoj dobi",Visoka,Blaga do teška,"Alergije, Izloženost pušenju, Zagađenje","Inhalacijski kortikosteroidi, Bronhodilatatori","Varira; stabilno uz dobru kontrolu, epizodni izbijanja","Spirometrija, Mjerenje maksimalnog protoka","Lijekovi, izbjegavanje okidača",Zviždanje pri disanju
6,4,Kronična opstruktivna plućna bolest,"Starije osobe, često preko 60","Niska, uglavnom zbog okolišnih faktora",Često teška i progresivna,"Pušenje, Izloženost prašini i kemikalijama","Bronhodilatatori, Steroidi","Postupna, ali progresivna ako se ne liječi","Testovi plućne funkcije, Rentgen prsnog koša","Lijekovi, terapija kisikom",Kratkoća daha
7,4,Kronična opstruktivna plućna bolest,"Starije osobe, često preko 60","Niska, uglavnom zbog okolišnih faktora",Često teška i progresivna,"Pušenje, Izloženost prašini i kemikalijama","Bronhodilatatori, Steroidi","Postupna, ali progresivna ako se ne liječi","Testovi plućne funkcije, Rentgen prsnog koša","Lijekovi, terapija kisikom",Kronični kašalj
9,5,Alzheimerova bolest,Obično preko 65,Visoka za određene genske varijante,"Progresivna, postaje teška","Starost, Genetski faktori, Faktori načina života","Donepezil, Memantin","Stabilno, ubrzava s vremenom","Kognitivne procjene, MRI skeniranje","Lijekovi, kognitivna terapija",Osjećaj stezanja u prsima
10,5,Alzheimerova bolest,Obično preko 65,Visoka za određene genske varijante,"Progresivna, postaje teška","Starost, Genetski faktori, Faktori načina života","Donepezil, Memantin","Stabilno, ubrzava s vremenom","Kognitivne procjene, MRI skeniranje","Lijekovi, kognitivna terapija",Gubitak pamćenja
11,6,Osteoporoza,"Starije osobe, često postmenopauzalne",Umjerena do visoka,"Blaga do teška, ovisno o gustoći kostiju","Bolovi u kostima, Frakture","Bifosfonati, Suplementi kalcija","Postupna, povećava se s godinama",Skeniranje gustoće kostiju (DEXA),"Lijekovi, promjene u prehrani",Zbunjenost
12,6,Osteoporoza,"Starije osobe, često postmenopauzalne",Umjerena do visoka,"Blaga do teška, ovisno o gustoći kostiju","Bolovi u kostima, Frakture","Bifosfonati, Suplementi kalcija","Postupna, povećava se s godinama",Skeniranje gustoće kostiju (DEXA),"Lijekovi, promjene u prehrani",Bolovi u zglobovima
13,7,Reumatoidni artritis,Često odrasli od 30-50 godina,"Visoka, posebno s određenim genetskim markerima",Blaga do teška,"Pušenje, Obiteljska povijest, Spol","Metotreksat, NSAID","Postupna, može dovesti do oštećenja zglobova ako se ne liječi","Test za reumatoidni faktor, Rentgen zglobova","Lijekovi, fizioterapija",Tremor
14,8,Parkinsonova bolest,Obično preko 60,"Umjerena, pod utjecajem genetskih i okolišnih faktora","Progresivna, postaje teška","Starost, Izloženost toksinima","Levodopa, Agonisti dopamina","Stabilno, često se ubrzava s vremenom","Neurologijski pregled, MRI","Lijekovi, fizioterapija",Bolovi u trbuhu
15,8,Parkinsonova bolest,Obično preko 60,"Umjerena, pod utjecajem genetskih i okolišnih faktora","Progresivna, postaje teška","Starost, Izloženost toksinima","Levodopa, Agonisti dopamina","Stabilno, često se ubrzava s vremenom","Neurologijski pregled, MRI","Lijekovi, fizioterapija",Ikterus
6,9,Koronarna arterijska bolest,Srednje do starije osobe,Umjerena do visoka,Blaga do teška,"Visok kolesterol, Pušenje, Hipertenzija","Statini, Beta-blokatori","Postupna, povećava se s vremenom i lošim upravljanjem","EKG, Koronarna angiografija","Lijekovi, promjene u načinu života",Kratkoća daha
16,9,Koronarna arterijska bolest,Srednje do starije osobe,Umjerena do visoka,Blaga do teška,"Visok kolesterol, Pušenje, Hipertenzija","Statini, Beta-blokatori","Postupna, povećava se s vremenom i lošim upravljanjem","EKG, Koronarna angiografija","Lijekovi, promjene u načinu života",Bolovi u kostima
14,10,Hepatitis C,Često odrasli,"Niska, prvenstveno stečena izloženosti",Blaga do teška,"IV droga, Transfuzije krvi",Izravno djelujući antivirusni lijekovi (DAA),"Varira, može postati kronična ako se ne liječi","Viralni teret, Testovi funkcije jetre",Lijekovi,Bolovi u trbuhu
